suburb,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,std_median_income,boxcox_number_of_units,boxcox_number_of_houses,sqrt_population,boxcox_median_house_price
PRESTON,11418,7672,Darebin,63.0,1155.0,1075700.0,27067,-0.7346885101944223,16.64051872474395,24.712158908276038,164.52051543804498,4.762933718660212
RESEARCH,885,162,Nillumbik,85.0,1923.0,1488100.0,28827,1.6876147800850894,7.148635882240118,13.44114606271013,169.78515836197226,4.783546848384012
RESERVOIR,16913,8713,Darebin,63.0,972.0,861800.0,45591,-1.311877966081337,17.039659567357948,26.959661189196208,213.5204908199679,4.748077939039645
RICHMOND,8875,13869,Yarra,65.0,1731.0,1389100.0,24112,1.0820389575152116,18.55386069857773,23.35355000417727,155.28039155025337,4.779283066934486
RINGWOOD,6350,4648,Maroondah,79.0,1393.0,1024000.0,28808,0.015973186532822238,15.129677958043738,21.64243849942283,169.72919607421701,4.759688870053663
RINGWOOD NORTH,3378,549,Maroondah,79.0,1393.0,1236500.0,28808,0.015973186532822238,9.666269749671429,18.68789280891649,169.72919607421701,4.771943495581441
RIPPONLEA,363,695,Port Phillip,69.0,1497.0,1641600.0,10824,0.34399342375817277,10.199279309067919,10.598116563316948,104.03845442911962,4.789528220086745
ROSANNA,3073,1156,Banyule,77.0,1551.0,1192000.0,21826,0.514311623855951,11.405146673725431,18.27358396166736,147.7362514753911,4.769596911368537
ROWVILLE,9231,1496,Knox,71.0,1699.0,1069100.0,28725,0.9811096537535652,12.046571799768978,23.56152507763787,169.48451256678294,4.762529985874137
SANDRINGHAM,3340,2563,Bayside,79.0,1836.0,1785000.0,8146,1.4132132354831135,13.455573000415304,18.637983949504555,90.2551937563706,4.794540485522081
SCORESBY,2159,206,Knox,75.0,1486.0,1027200.0,5872,0.3092989755901069,7.613946709883804,16.789753380663903,76.62897624267207,4.759895350742195
SEABROOK,1452,264,Hobsons Bay,67.0,1221.0,739400.0,29313,-0.5265218211860268,8.10946922182791,15.23262642633292,171.2103968805633,4.737429410481473
SEAHOLME,826,188,Hobsons Bay,70.0,1160.0,1316200.0,11742,-0.7189183064816651,7.4352067155788495,13.204130138108038,108.36050941187015,4.7759039459016845
SEDDON,2035,844,Maribyrnong,49.0,1181.0,1148600.0,16926,-0.6526834508880847,10.65046155431051,16.550358796908764,130.09996156801893,4.767205141017493
SOUTH KINGSVILLE,826,527,Hobsons Bay,74.0,1626.0,979800.0,14791,0.7508646795473095,9.575440303848364,13.204130138108038,121.61825520866512,4.756755347138803
SOUTH YARRA,5596,20356,Stonnington,64.0,1694.0,1828200.0,18044,0.965339450040808,19.8728975392605,21.023131717574856,134.32795688165587,4.7959566574693415
SOUTHBANK,807,24380,Melbourne,52.0,1838.0,2621500.0,4101,1.4195213169682164,20.515526551971927,13.124857130107056,64.03905058634146,4.816515234452862
SPOTSWOOD,1274,443,Hobsons Bay,74.0,1626.0,1144200.0,14791,0.7508646795473095,9.195032705229398,14.743549158165445,121.61825520866512,4.766956635046586
SPRINGVALE,6280,4315,Greater Dandenong,36.0,884.0,895800.0,18147,-1.5894335514258646,14.913629777481828,21.587554418855685,134.7108013486669,4.7507174837818305
SPRINGVALE SOUTH,3382,1080,Greater Dandenong,60.0,1155.0,814400.0,21516,-0.7346885101944223,11.239433732292074,18.69311964322291,146.68333238647122,4.744182611528817
ST ALBANS,12373,4513,Brimbank,46.0,907.0,697000.0,54005,-1.5168906143471812,15.043773223993865,25.158621251050374,232.38975881049493,4.7332380965790195
ST HELENA,800,170,Banyule,83.0,1524.0,1163300.0,26045,0.42915252380706187,7.240846889562518,13.095266556672202,161.38463371709216,4.768027192004387
STRATHMORE,3101,749,Moonee Valley,81.0,1634.0,1643800.0,10591,0.7760970054877211,10.371772156104525,18.312986140221735,102.91258426451063,4.789609024475292
SUNSHINE,4031,1779,Brimbank,52.0,929.0,883700.0,30677,-1.4475017180110494,12.48953945114121,19.481114451013056,175.1485084150019,4.749792061277789
SUNSHINE NORTH,4531,973,Brimbank,52.0,929.0,772000.0,30677,-1.4475017180110494,10.987962252727403,20.02018801409225,175.1485084150019,4.74046109537391
SUNSHINE WEST,6571,1496,Brimbank,52.0,929.0,711000.0,30677,-1.4475017180110494,12.046571799768978,21.81253070943081,175.1485084150019,4.734654998088014
SURREY HILLS,4622,2218,Whitehorse,81.0,1961.0,2059900.0,16832,1.8074683283020445,13.067709486679409,20.113014915051156,129.73819792181484,4.802924755882097
SYDENHAM,2811,1400,Brimbank,64.0,1491.0,658000.0,27356,0.3250691793028641,11.879564708669479,17.889921714856733,165.3964933122828,4.729104314663914
TEMPLESTOWE,5734,1487,Manningham,64.0,1789.0,1759800.0,16180,1.2649733205831954,12.031318855091822,21.141378707623737,127.20062892926276,4.7936953158594475
THOMASTOWN,7762,2091,Whittlesea,49.0,900.0,691800.0,21735,-1.5389688995450415,12.911552161184504,22.656077956796125,147.42794850366738,4.732703123839056
THORNBURY,6018,4275,Darebin,63.0,1275.0,1361700.0,16671,-0.3562036210882486,14.886706800894851,21.377588319188803,129.11622671066561,4.778038429599616
TOORAK,4088,5974,Stonnington,72.0,1977.0,2752300.0,12797,1.8579329801828677,15.87432366307137,19.54524220558539,113.1238259607586,4.819182798874742
TRAVANCORE,415,1693,Moonee Valley,67.0,1512.0,1386700.0,17187,0.3913040348964445,12.361860054551082,10.996209551130974,131.0991990822217,4.779175225722074
TRUGANINA,12111,961,Wyndham,74.0,1402.0,680500.0,39324,0.04435955321578527,10.958272232791707,25.03902114505792,198.3027987699619,4.731523819282104
TULLAMARINE,3164,2016,Hume,65.0,1150.0,706000.0,16710,-0.7504587139071796,12.815399299229169,18.40058905813581,129.267165204471,4.73415282306604
UPWEY,2604,227,Yarra Ranges,84.0,1537.0,929900.0,6895,0.4701550534602307,7.80599486203339,17.565550924347928,83.03613671167511,4.753247080704847
VERMONT,3636,1030,Whitehorse,71.0,1459.0,1186300.0,20802,0.22413987554121778,11.124767559904488,19.015122866826847,144.22898460434365,4.769288777506904
VIEWBANK,2434,356,Banyule,77.0,1551.0,1147300.0,21826,0.514311623855951,8.727786342488315,17.282999955927828,147.7362514753911,4.767131837477814
WANTIRNA,4861,1165,Knox,70.0,1463.0,1071300.0,31889,0.23675603851142357,11.424135720666227,20.349889062413716,178.57491425169437,4.76266489396505
WARRANWOOD,1338,178,Maroondah,79.0,1393.0,1309600.0,28808,0.015973186532822238,7.3293440661526486,14.925479060191975,169.72919607421701,4.775587004902656
WATSONIA,2191,614,Banyule,82.0,1300.0,879500.0,8932,-0.27735260252446237,9.917201576216764,16.84970390787259,94.50925880568528,4.749467290657588
WATSONIA NORTH,1300,60,Banyule,82.0,1300.0,912000.0,8932,-0.27735260252446237,5.368863013596834,14.818339417254457,94.50925880568528,4.751933332159647
WERRIBEE,14482,4489,Wyndham,77.0,1470.0,634600.0,36356,0.2588343237092837,15.028266907458939,26.052656395342435,190.67249408344142,4.726480726207296
WEST FOOTSCRAY,3870,2546,Maribyrnong,56.0,1162.0,947700.0,19978,-0.7126102249965621,13.437562239497046,19.295890962243096,141.34355308962628,4.754523830159743
WESTMEADOWS,2446,596,Hume,74.0,1388.0,684900.0,8623,0.00020298282006500046,9.850128443771414,17.30346515545146,92.86010984270911,4.731985783084683
WILLIAMS LANDING,2735,173,Wyndham,87.0,1842.0,866400.0,170,1.432137479938422,7.274451178318571,17.773169709952153,13.038404810405298,4.748442274513555
WINDSOR,2201,4448,Stonnington,66.0,1560.0,1629600.0,17776,0.542697990538914,15.001608710391103,16.86829168871556,133.32666649999166,4.789085176753335
WOLLERT,6516,259,Whittlesea,80.0,1355.0,704700.0,350,-0.10388036168413277,8.070717881707067,21.77064221347022,18.708286933869708,4.734021560437586
YALLAMBIE,1286,81,Banyule,79.0,1458.0,998200.0,12063,0.22098583479866632,5.883162737011107,14.778221240482571,109.83168941612435,4.757995402890634
YARRAVILLE,5855,2072,Maribyrnong,67.0,1583.0,1148100.0,11645,0.6152409276175973,12.887481821498417,21.243160594373222,107.91200118615167,4.767176959098639
