u,v,distance_m
591408187,111295073,71.0
591408190,591407783,69.0
576859255,576860007,7.0
591408273,591392065,23.0
127544550,4698484073,13.0
2975214867,5646660249,4.0
2975214867,2975214868,24.0
2975214868,363400139,7.0
4315295090,4315295101,9.0
4315295113,4157116177,59.0
4975504800,1459890794,5.0
4975504801,1462398911,19.0
4975504801,4975504800,4.0
4975504803,1462398739,47.0
443297188,1463620721,4.0
443297188,1463620801,56.0
4975504805,4975504803,26.0
4975504805,4975504804,4.0
4975504804,1458418018,5.0
4975504807,4975504805,19.0
252587482,54552820,9.0
589704714,589704716,4.0
589704716,1479930111,7.0
589704716,291965986,6.0
361770535,361770719,43.0
361770537,361770819,30.0
4998966831,2948774564,10.0
591408731,1833110274,30.0
131214954,6167489449,43.0
252587628,576859255,4.0
252587628,60095204,20.0
252587670,576841731,80.0
591408809,4520380479,5.0
591408819,4520380433,4.0
4391710424,597546804,18.0
4391710424,4391710425,98.0
4391710425,5902824189,7.0
4391710425,597546804,100.0
361770719,233255272,41.0
6202470179,266737766,14.0
6202470179,266737768,28.0
6202470181,5424203785,29.0
6202470181,5424203858,96.0
6202470181,5424203828,49.0
361770819,361770535,33.0
576860018,576860674,9.0
576860042,576860104,13.0
576860063,576860042,10.0
777793457,3215191973,25.0
576860085,576861863,7.0
777793465,777793457,27.0
576860093,60095437,10.0
777793471,3215191979,20.0
576860104,2977758614,3.0
2204643278,4297530201,84.0
2204643282,30287469,2.0
2204643289,372022839,48.0
2204643289,2204643278,115.0
2204643308,361268957,41.0
2960404462,591432433,3.0
2960404462,2960003295,30.0
2204643315,233314776,2.0
2204643315,2204643289,54.0
2204643319,2204643308,87.0
2277912675,2277912676,55.0
2277912675,2277912677,65.0
2277912676,2277912678,62.0
2277912677,2277912679,63.0
2277912678,3098154906,29.0
2277912679,2277912682,61.0
2277912680,3098154909,33.0
2277912688,2277912686,62.0
2277912688,3095063270,60.0
2277912682,2277912685,62.0
2277912683,3098154909,30.0
2277912686,2277912683,61.0
2277912685,578070441,61.0
2277912699,578070441,166.0
2277912706,2277912699,107.0
381825173,30944137,150.0
577458193,577458194,47.0
252588302,576876304,5.0
252588303,1449431612,7.0
252588317,3085953493,263.0
30945575,269335260,13.0
581710135,581709083,71.0
581710139,581710135,89.0
581710140,581711294,21.0
5457981821,5457984810,71.0
30945662,269335441,26.0
5457981822,5457981821,4.0
774517121,774517861,5.0
30945778,1449316667,51.0
252588540,428647141,7.0
576860674,266740436,7.0
576860677,4380043595,52.0
92156538,3938479955,5.0
114569851,6060217812,15.0
361771651,384005175,6.0
114569880,114569851,56.0
774517574,774508242,5.0
446051190,5427911108,14.0
443298695,370751497,9.0
446051211,312718309,34.0
6202471307,6202470179,147.0
3202364312,370285600,25.0
252588993,91970805,20.0
252588998,1217532788,6.0
6202471447,2177831028,66.0
5427967025,2975231286,6.0
5427967025,5427967026,91.0
5427967026,651992598,8.0
